Name,Slot,Description,View Desc,Price,1/2 Price,Upgrade,CL,Weight (lb),Strength,School,Crafting Feat,Spells Needed,Other Reqs,Base Crafting DC, Num Req,Source,URL,Notes
Abjurant Salt,Slotless,"Carried in a tube of beaten silver, this rough-ground salt is a powerful defense against evil conjurers. As a full-round action that provokes attacks of opportunity, the salt can be poured in a circle with a diameter of 5 feet or a straight line up to 15 feet long. While the line of salt remains unbroken and undisturbed, evil summoned or called creatures cannot physically cross it or interfere with it. These creatures can continue to make ranged or magical attacks over the line. Any other creature may disturb the line simply by scuffing it. The effects of the salt last as long as the line remains unbroken. Once laid, the salt cannot be recollected.",No,600 ,300 ,-,9,1,Moderate,Abjuration,Craft Wondrous Item,Magic Circle Against Evil + Permanency,-,24,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/abjurant-salt,
Admixture Vial,Slotless,"Once per day, an alchemist can use this simple-looking glass vial to combine two extracts into one usable extract as if he had the combine extracts discovery. An admixture vial can combine extracts of 3rd level or lower. Extracts combined with an admixture vial cannot be combined again using this item or the combine extracts discovery.",No,"5,000 ","2,500 ",-,8,0,Moderate,Universal,Craft Wondrous Item,Combine Extracts,(Class) Alchemist,23,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/admixture-vial,
Robe of Infinite Twine,Body,"This coarse hempen robe seems made from a single strand of twine. The wearer can draw up to 30 feet of twine or up to 10 feet of hemp rope per round from the robe without harming it. As an immediate action, the wearer can draw up to 150 feet of twine or 50 feet of rope from the robe, but this gives the robe the broken condition and suppresses its powers until it is repaired. Twine or rope drawn from the robe remains connected until cut or torn, but is treated as common material rather than part of a magic item. Pieces removed become normal twine or rope.",No,"1,000 ",500 ,-,7,1,Moderate,Conjuration,Craft Wondrous Item,Minor Creation,-,17,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/robe-of-infinite-twine,
Aegis of Recovery,Neck,"An aegis of recovery grants its wearer a +2 resistance bonus on all saving throws made to recover from a continuing effect, such as ongoing poison damage, daily saving throws against disease, a hold person spell, or lingering damage from an attack. This bonus does not help against initial saving throws against such effects. Should the wearer ever drop below 0 hit points, the aegis heals the wearer for 2d8+3 points of damage and then crumbles to dust.",No,"1,500 ",750 ,-,3,0,Faint,Abjuration + Conjuration,Craft Wondrous Item,Barkskin + Cure Moderate Wounds,-,18,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/aegis-of-recovery,
Agile Alpenstock,Slotless,"This gnarled wooden walking stick aids a creature's travel, granting a +5 foot enhancement bonus to speed and a +2 enhancement bonus to CMD against trip attempts and on saving throws to avoid being tripped. These bonuses apply as long as the agile alpenstock is held in hand. It can be wielded in combat as a quarterstaff.",No,"2,000 ","1,000 ",-,3,1,Faint,Transmutation,Craft Wondrous Item,Longstrider,-,13,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/agile-alpenstock,
Alchemist's Atlatl,Slotless,"This wooden atlatl resembles a handheld, lever-controlled catapult. One end sports a shaft covered in carvings of alchemical formulae, and the other is a roughly carved bowl.The user can place an alchemical splash weapon, such as a flask of acid or alchemist's fire, in the bowl. This is a move action that provokes an attack of opportunity. When the splash weapon is launched from the atlatl, its range is doubled. Magic items (including an alchemist's bombs) aren't affected by an alchemist's atlatl.",No,"1,500 ",750 ,-,1,2,Faint,Transmutation,Craft Wondrous Item,Longshot,-,11,1,PPC: Ranged Tactics Toolbox,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/alchemist-s-atlatl,
Alluring Golden Apple,Slotless,"This enchanted apple appears to be made of solid gold. When dropped or thrown, it draws the attention of the nearest hostile creature within 20 feet. The creature must make a DC 13 Will save or be paralyzed as if by hold person as it focuses its undivided attention on the golden apple. If the creature makes its save on a later round, it realizes it has been affected by magic and the apple is not actually gold. While focusing on the apple, the target takes a —2 penalty on Perception checks. The apple is consumed upon being dropped or thrown.",No,400 ,200 ,-,4,1,Faint,Enchantment,Craft Wondrous Item,Beguiling Gift + Hold Person,-,19,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/alluring-golden-apple,
Ampoule of False Blood,Neck,"This necklace consists of a fine gold chain from which hangs a small sealed crystal vial containing preserved liquid blood. Each ampoule is attuned to a specific sorcerer bloodline. If a sorcerer (or other creature with sorcerer bloodline powers, such as from the Eldritch Heritage feat) wears the ampoule for at least one day, she loses her existing bloodline powers and gains the bloodline powers of the ampoule’s bloodline, using her sorcerer level to determine the powers gained. The ampoule has no effect on the sorcerer’s bonus spells, bloodline arcana, or bonus feats from her original bloodline (which remain unchanged). The sorcerer can only use these bloodline powers as long as she wears the necklace. Removing the necklace leaves the sorcerer unable to access any bloodline power, either her own or those of the ampoule, until one hour has passed. As a full round action that provokes an attack of opportunity, the wearer can break open the ampoule and drink the blood within. This destroys the item, and gives her the sickened condition for 1d4 hours. If the drinker is a sorcerer, her bloodline permanently changes to match that of the ampoule. In this case, the sorcerer’s bonus spells, bloodline arcana, and bloodline powers all permanently change to match those of the ampoule’s bloodline. Bonus feats previously selected due to the sorcerer’s bloodline are unaffected, but new feats must be selected from the new bloodline’s bonus feat list.",No,"20,000 ","10,000 ",-,15,0,Strong,Transmutation,Craft Wondrous Item,Limited Wish + Polymorph,(Class) Sorcerer w/ desired bloodline,35,3,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/ampoule-of-false-blood,
Amulet of Bullet Protection +1,Neck,"This amulet, usually crafted from the splintered remains of spent firearm bullets shaped into a rough holy symbol or clover, grants the wearer a luck bonus to AC against firearm attacks that target touch AC.",No,"1,500 ",750 ,Amulet of Bullet Protection +2,5,0,Faint,Abjuration,Craft Wondrous Item,Divine Favor,(CL) 3,20,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-bullet-protection,
Amulet of Bullet Protection +2,Neck,"This amulet, usually crafted from the splintered remains of spent firearm bullets shaped into a rough holy symbol or clover, grants the wearer a luck bonus to AC against firearm attacks that target touch AC.",No,"6,000 ","3,000 ",Amulet of Bullet Protection +3,5,0,Faint,Abjuration,Craft Wondrous Item,Divine Favor,(CL) 6,20,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-bullet-protection,
